category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Video Making/Editing,Trulyhelp Foundation,"Delhi,",Immediately,2 Months,Unpaid,22 Jan' 23,0.0,"Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Video Editing,Video Making,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,",2.0,https://internshala.com/internship/detail/video-making-editing-internship-in-delhi-at-trulyhelp-foundation1673092404
Social Media Marketing,I Educate Myself Daily Foundation,"Work From Home,",Immediately,2 Weeks,Unpaid,21 Jan' 23,68.0,,"Certificate,Letter of recommendation,Flexible work hours,",100.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-i-educate-myself-daily-foundation1673070241
Volunteering,ITEE Cyber Welfare Society,"Work From Home,",Immediately,2 Months,Unpaid,21 Jan' 23,0.0,"Adobe Photoshop,MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",20.0,https://internshala.com/internship/detail/volunteering-work-from-home-job-internship-at-itee-cyber-welfare-society1673067062
Human Resources (HR),Suvidha Foundation,"Work From Home,",Immediately,2 Months,Unpaid,21 Jan' 23,553.0,,"Certificate,Letter of recommendation,",25.0,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-suvidha-foundation1673101736
Artificial Neural Networks,ABCOM Information Systems Private Limited,"Work From Home,",Immediately,3 Months,Unpaid,21 Jan' 23,141.0,"Natural Language Processing (NLP),Neural Networks,","Certificate,Letter of recommendation,Flexible work hours,",5.0,https://internshala.com/internship/detail/artificial-neural-networks-work-from-home-job-internship-at-abcom-information-systems-private-limited1673004894
Graphic Design,Dream Bharat Foundation,"Work From Home,",Immediately,1 Month,Unpaid,21 Jan' 23,87.0,"Canva,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",10.0,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-dream-bharat-foundation1673093378
Law/Legal,Augustus Law,"Kolkata,",Immediately,3 Months,Unpaid,21 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Word,","Certificate,",2.0,https://internshala.com/internship/detail/law-legal-internship-in-kolkata-at-augustus-law1673005647
HR Analysis,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,21 Jan' 23,39.0,"English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel,MS-Office,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",15.0,https://internshala.com/internship/detail/hr-analysis-work-from-home-job-internship-at-simmi-foundation-organization1673024132
Graphic Design,Dhatri Patra Foundation,"Work From Home,",Immediately,1 Month,Unpaid,21 Jan' 23,57.0,"Adobe Illustrator,Adobe Photoshop,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",3.0,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-dhatri-patra-foundation1673008915
Blog Writing,Steer For Change Foundation,"Work From Home,",Immediately,6 Months,Unpaid,21 Jan' 23,0.0,"Creative Writing,","Certificate,Letter of recommendation,",20.0,https://internshala.com/internship/detail/blog-writing-work-from-home-job-internship-at-steer-for-change-foundation1673020894
Human Resources (HR),Listening Inn Foundation,"Work From Home,",Immediately,4 Months,Unpaid,21 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),Recruitment,","Certificate,Letter of recommendation,Flexible work hours,",2.0,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-listening-inn-foundation1672999354
Content Writing,Listening Inn Foundation,"Work From Home,",Immediately,3 Months,Unpaid,21 Jan' 23,0.0,"English Proficiency (Written),WordPress,","Certificate,Letter of recommendation,Flexible work hours,",2.0,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-listening-inn-foundation1672999330
Content Writing,Step Up Helping Hands,"Work From Home,",Immediately,3 Months,Unpaid,21 Jan' 23,0.0,"Blogging,Creative Writing,English Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",1.0,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-step-up-helping-hands1672993193
Fundraising,Trulyhelp Foundation,"Work From Home,",Immediately,2 Months,Unpaid,25 Jan' 23,29.0,"English Proficiency (Spoken),English Proficiency (Written),Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-trulyhelp-foundation1672913225
Campus Ambassador,Sunstone Education Technology Private Limited,"Work From Home,",Immediately,5 Months,Performance Based,8 Feb' 23,810.0,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,",100.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-sunstone-education-technology-private-limited1672826236
Social Work,Speak Up World Foundation,"Work From Home,",Immediately,1 Month,Unpaid,31 Jan' 23,249.0,"MS-Excel,MS-PowerPoint,MS-Word,","Certificate,Letter of recommendation,Flexible work hours,",500.0,https://internshala.com/internship/detail/social-work-work-from-home-job-internship-at-speak-up-world-foundation1672640662
Campus Ambassador,Meet7 - India's First Speed Dating App,"Delhi, Pune, Bangalore, Mumbai,",Immediately,3 Months,Performance Based,6 Feb' 23,36.0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",30.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-meet7-indias-first-speed-dating-app1672313506
Campus Ambassador,ChatWise UK Limited,"Work From Home,",Immediately,1 Month,Performance Based,31 Jan' 23,0.0,"Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",200.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-chatwise-uk-limited1671980208
Psychology Research (Relationships),Krsh Welfare Foundation,"Work From Home,",Immediately,1 Month,Unpaid,30 Jan' 23,164.0,"Research and Analytics,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5.0,https://internshala.com/internship/detail/psychology-research-relationships-work-from-home-job-internship-at-krsh-welfare-foundation1672032153
Campus Ambassador,Kads Consultancy,"Work From Home,",Immediately,2 Months,Performance Based,30 Jan' 23,305.0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",20.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-kads-consultancy1672026026
Campus Ambassador,"GREAT STEP, IIT Kharagpur","Work From Home,",Immediately,2 Months,Performance Based,30 Jan' 23,167.0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",300.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-great-step-iit-kharagpur1671284176
Campus Ambassador,MastersBuddy,"Ahmedabad, Dehradun, Pune, Ranchi, Surat, Raipur, Baroda,",Immediately,1 Month,Performance Based,26 Jan' 23,174.0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",25.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-mastersbuddy1671628203
Campus Ambassador,Phnk Networks,"Work From Home,",Immediately,1 Month,Performance Based,26 Jan' 23,87.0,"Digital Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",10.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-phnk-networks1671508986
Psychology Research (Mood Swings),Krsh Welfare Foundation,"Work From Home,",Immediately,1 Month,Unpaid,25 Jan' 23,403.0,"Research and Analytics,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",15.0,https://internshala.com/internship/detail/psychology-research-mood-swings-work-from-home-job-internship-at-krsh-welfare-foundation1671599318
Campus Ambassador,Inari Shines,"Work From Home,",Immediately,2 Months,Performance Based,21 Jan' 23,244.0,"Social Media Marketing,","Certificate,Flexible work hours,",20.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-inari-shines1671177366
Psychology Research (Social Anxiety),Krsh Welfare Foundation,"Work From Home,",Immediately,1 Month,Unpaid,23 Jan' 23,478.0,"Research and Analytics,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",15.0,https://internshala.com/internship/detail/psychology-research-social-anxiety-work-from-home-job-internship-at-krsh-welfare-foundation1671419356
Convolution Neural Network,Bit Brothers,"Work From Home,",Immediately,6 Months,Unpaid,23 Jan' 23,527.0,"Computer Vision,Deep Learning,Image Processing,Machine Learning,Neural Networks,Python,","Certificate,Letter of recommendation,5 days a week,Job offer,",10.0,https://internshala.com/internship/detail/convolution-neural-network-work-from-home-job-internship-at-bit-brothers1671126430
Legal Research,Karytron Electricals Private Limited,"Work From Home,",Immediately,1 Month,Unpaid,22 Jan' 23,316.0,"English Proficiency (Written),Hindi Proficiency (Written),MS-Word,","Certificate,Flexible work hours,",10.0,https://internshala.com/internship/detail/legal-research-work-from-home-job-internship-at-karytron-electricals-private-limited1670999277
